id,name,category,rating,comment,userId,createdAt,sentiment,confidence,sentiment_score
P00168,Bamboo Cutting Board,Kitchen,2,"Poor quality, uneven surface, not durable at all.",H0Ivlfm8Kq,2024-12-26 12:32:56,NEGATIVE,0.9998043179512024,-1.0
P00168,Bamboo Cutting Board,Kitchen,3,Mediocre at best. Doesn't meet expectations.,fAfCIxGOq8,2024-12-26 10:39:33,NEGATIVE,0.999813973903656,-1.0
P00191,Digital Camera,Electronics,4,"Good image quality, easy to use, nice features.",yldPNzTteW,2024-12-25 3:34:16,POSITIVE,0.9998683929443359,1.0
P00191,Digital Camera,Electronics,5,"Outstanding camera! Crystal clear images, great zoom.",SMQnCUji7T,2024-12-26 0:11:36,POSITIVE,0.9998805522918701,1.0
P00191,Digital Camera,Electronics,5,Absolutely love this camera! Professional-level performance.,0SXLnvyj9l,2024-12-26 20:12:25,POSITIVE,0.9998762607574463,1.0
P00214,Organic Shampoo,Beauty,1,Awful shampoo! Dried out my hair completely.,BKXEl9tonE,2024-12-25 8:13:04,NEGATIVE,0.9996541738510132,-1.0
P00214,Organic Shampoo,Beauty,2,"Terrible for my hair type, leaves residue.",l7bsselgtY,2024-12-26 0:03:12,NEGATIVE,0.9996423721313477,-1.0
P00214,Organic Shampoo,Beauty,3,"Underwhelming product, not worth the price.",gaGt0Wi3x2,2024-12-24 13:43:52,NEGATIVE,0.9998014569282532,-1.0
P00789,Wireless Mouse,Electronics,4,"Smooth and responsive, good connectivity.",ODEzgPAedB,2024-12-24 19:31:17,POSITIVE,0.9998787641525269,1.0
P00789,Wireless Mouse,Electronics,5,"Excellent mouse! Precise tracking, comfortable design.",VwekCnQkUu,2024-12-26 0:59:52,POSITIVE,0.9998660087585449,1.0
P00789,Wireless Mouse,Electronics,5,Best wireless mouse I've used. Highly recommended!,yLgXituJnT,2024-12-24 3:29:04,POSITIVE,0.9997830986976624,1.0
P01617,Board Game,Games,2,"Too complicated, takes forever to understand the rules.",fcmXwFHOvx,2024-12-26 23:20:23,NEGATIVE,0.9992414712905884,-1.0
P01640,Board Game,Games,3,"Mediocre game, gets repetitive quickly.",3u5SgjWuJE,2024-12-25 8:49:04,NEGATIVE,0.999816358089447,-1.0
